Following Athlete ID,Follow Status,Favorite Status
1386325,Accepted,""
3477919,Accepted,""
5683439,Accepted,""
7451463,Accepted,""
9352022,Accepted,""
10934472,Accepted,""
11415315,Accepted,""
14006725,Accepted,""
14028070,Accepted,""
14778699,Accepted,""
17395853,Accepted,""
19381455,Accepted,""
20467029,Accepted,""
20572221,Accepted,""
20612961,Accepted,""
20641264,Accepted,""
20980152,Accepted,""
21539782,Accepted,""
21585628,Accepted,""
21601183,Accepted,""
21858785,Accepted,""
22066007,Accepted,""
22252026,Accepted,""
22688626,Accepted,""
23019194,Accepted,""
23062419,Accepted,""
23142669,Accepted,""
23587825,Accepted,""
23611380,Accepted,""
23741467,Accepted,""
24121196,Accepted,""
24227724,Accepted,""
24838695,Accepted,""
25071444,Accepted,""
25455193,Accepted,""
26171691,Accepted,""
26240156,Accepted,""
26261323,Accepted,""
26271937,Accepted,""
26277044,Accepted,""
26393483,Accepted,""
26839431,Accepted,""
27122387,Accepted,""
27688947,Accepted,""
28220585,Accepted,""
28496267,Accepted,""
29244253,Accepted,""
29271386,Accepted,""
29702107,Accepted,""
31023638,Accepted,""
31060759,Accepted,""
31674751,Accepted,""
32111484,Accepted,""
32212330,Accepted,""
32522578,Accepted,""
33287600,Accepted,""
34192755,Accepted,""
34209602,Accepted,""
35092668,Accepted,""
35183548,Accepted,""
35241902,Accepted,""
35367650,Accepted,""
35650400,Accepted,""
35675337,Accepted,""
35749768,Accepted,""
36233577,Accepted,""
36504793,Accepted,""
36819134,Accepted,""
37079446,Accepted,""
37131476,Accepted,""
37499946,Accepted,""
38303554,Accepted,""
38616256,Accepted,""
39162052,Accepted,""
39269295,Accepted,""
39749006,Accepted,""
39820789,Accepted,""
40032927,Accepted,""
40109316,Accepted,""
40176342,Accepted,""
40404934,Accepted,""
40524725,Accepted,""
40544004,Accepted,""
40809813,Accepted,""
41015042,Accepted,""
41572511,Accepted,""
41803132,Accepted,""
41843592,Accepted,""
42826806,Accepted,""
43053479,Accepted,""
43262936,Accepted,""
43367404,Accepted,""
43594479,Accepted,""
43847959,Accepted,""
43962377,Accepted,""
44046609,Accepted,""
44427568,Accepted,""
44824810,Accepted,""
45786941,Accepted,""
45957704,Accepted,""
46746285,Accepted,""
46855954,Accepted,""
47501189,Accepted,""
47724365,Accepted,""
47966468,Accepted,""
48004284,Accepted,""
48561844,Accepted,""
48923789,Accepted,""
48941804,Accepted,""
49067715,Accepted,""
49198551,Accepted,""
49294577,Accepted,""
49436360,Accepted,Boost Activities in Feed | Subscribed to Activity Notifications on Upload
49460957,Accepted,""
49596117,Accepted,""
51064123,Accepted,""
51891242,Accepted,""
52188193,Accepted,""
52594034,Accepted,""
53321340,Accepted,""
53325309,Accepted,""
53557515,Accepted,""
54279146,Accepted,""
54393786,Accepted,""
55917850,Accepted,""
56316938,Accepted,""
56497807,Accepted,""
58980535,Accepted,""
59164011,Accepted,""
59584442,Accepted,""
60727176,Accepted,""
61438163,Accepted,""
61527126,Accepted,""
61629858,Accepted,""
62109571,Accepted,""
62449664,Accepted,""
62732080,Accepted,""
63742979,Accepted,""
64825905,Accepted,""
65285815,Accepted,""
65663467,Accepted,""
65978939,Accepted,""
66383612,Accepted,""
66422417,Accepted,""
68492935,Accepted,""
68896853,Accepted,""
69932083,Accepted,""
70653952,Accepted,""
71469462,Accepted,""
71614915,Accepted,""
72452900,Accepted,""
73365401,Accepted,""
73704997,Accepted,""
73978444,Accepted,""
74530628,Accepted,""
75878022,Accepted,""
81581172,Accepted,""
82469952,Accepted,""
83418888,Accepted,""
84327517,Accepted,""
86525201,Accepted,""
86899776,Accepted,""
87346467,Accepted,""
87524001,Accepted,""
87606697,Accepted,""
87740052,Accepted,""
88945516,Accepted,""
89520292,Accepted,""
90313090,Accepted,""
91883316,Accepted,""
96073251,Accepted,""
96537649,Accepted,""
96705937,Accepted,""
99773224,Accepted,""
99773541,Accepted,""
104344047,Accepted,""
105503493,Accepted,""
106849442,Accepted,""
107025137,Accepted,""
108069564,Accepted,Boost Activities in Feed
108197497,Accepted,""
109144954,Accepted,""
112004180,Accepted,""
112294463,Accepted,""
113197369,Accepted,""
118412716,Accepted,""
119078314,Accepted,""
119194141,Accepted,""
120789704,Accepted,""
121176654,Accepted,""
123978900,Accepted,""
125232869,Accepted,""
127077072,Accepted,""
140677362,Accepted,""
141407931,Accepted,""
145195171,Accepted,""
159318917,Accepted,""
31982786,Pending,""
85731653,Pending,""
